,game,platform,rating
0,Original War,PC,61
1,18 Wheeler: American Pro Trucker,PlayStation 2,61
2,X-Men: Reign of Apocalypse,Game Boy Advance,61
3,Virtua Athlete 2000,Dreamcast,61
4,Alien Resurrection,PlayStation,61
5,Dogs of War: Battle On Primus IV,PC,61
6,Flockers,PlayStation 4,61
7,Test Drive: Ferrari Racing Legends,Xbox 360,61
8,Need for Speed Payback,Xbox One,61
9,Age of Pirates 2: City of Abandoned Ships,PC,61
10,Secret Agent Clank,PlayStation 2,61
11,Override 2: Super Mech League,PC,61
12,Outcast: Second Contact,PlayStation 4,61
13,Major League Baseball 2K9,PlayStation 3,61
14,Need for Speed ProStreet,Wii,61
15,No Man's Sky,PC,61
16,Asphalt 9: Legends,Switch,61
17,Delta Force: Black Hawk Down,Xbox,61
18,Kinect Adventures!,Xbox 360,61
19,James Cameron's Avatar: The Game,Xbox 360,61
20,Metal Slug XX,Xbox 360,61
21,Need for Speed Payback,PlayStation 4,61
22,Evoland,PC,61
23,Mutant Mudds,PC,61
24,Infernal,PC,61
25,Muppets Party Cruise,PlayStation 2,61
26,Robotech: The Macross Saga,Game Boy Advance,61
27,X-Men: Next Dimension,PlayStation 2,61
28,Future Tactics: The Uprising,Xbox,61
29,Fatal Inertia,Xbox 360,61
30,Ashwalkers: A Survival Journey,PC,61
31,Windward,PC,61
32,Zombie Apocalypse,PlayStation 3,61
33,Siegecraft Commander,Xbox One,61
34,MegaTagmension Blanc + Neptune VS Zombies,PlayStation Vita,61
35,White Night,Xbox One,61
36,PlayStation Move Fitness,PlayStation 3,61
37,Robocalypse: Beaver Defense,Wii,61
38,Star Wars: The Force Unleashed,DS,61
39,Kirby Air Ride,GameCube,61
40,Playboy: The Mansion,Xbox,61
41,Sunny Garcia Surfing,PlayStation 2,61
42,Sword Coast Legends,PC,61
43,Baja: Edge of Control,PlayStation 3,61
44,Sega Casino,DS,61
45,Velvet Assassin,PC,61
46,Honeycomb Beat,DS,61
47,Asterix & Obelix XXL 2,PlayStation 4,61
48,Voodoo Dice,Xbox 360,61
49,Capcom Fighting Evolution,Xbox,61
50,Arkanoid DS,DS,61
51,Build-A-Bear Workshop,DS,61
52,Dragon Ball Z: Extreme Butoden,3DS,61
53,Star Wars Episode III: Revenge of the Sith,Xbox,61
54,Shining Tears,PlayStation 2,61
55,Darkened Skye,GameCube,61
56,Silent Scope 3,PlayStation 2,61
57,Asemblance,PlayStation 4,61
58,Zeno Clash II,PC,61
59,Fable: The Journey,Xbox 360,61
60,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,61
